,lead_id,lead_indicator,date_part,source,customer_group,onboarding,customer_code
0,2,0.0,2024-01-06,signup,5.0,True,None
1,10,,,,,,
2,13,,,,,,
3,17,,,,,,
4,19,,,,,,
5,22,,,,,,
6,27,,,,,,
7,28,,,,,,
8,29,,,,,,
9,30,,,,,,
10,32,,,,,,
11,33,,,,,,
12,36,,,,,,
13,38,,,,,,
14,40,,,,,,
15,41,,,,,,
16,43,,,,,,
17,44,,,,,,
18,49,,,,,,
19,55,,,,,,
20,57,,,,,,
21,58,,,,,,
22,61,,,,,,
23,68,,,,,,
24,72,,,,,,
25,87,,,,,,
26,88,,,,,,
27,93,,,,,,
28,95,,,,,,
29,97,,,,,,
30,104,,,,,,
31,107,,,,,,
32,109,,,,,,
33,110,,,,,,
34,112,,,,,,
35,116,,,,,,
36,126,,,,,,
37,130,,,,,,
38,133,,,,,,
39,141,,,,,,
40,142,,,,,,
41,146,,,,,,
42,148,,,,,,
43,152,,,,,,
44,160,,,,,,
45,167,,,,,,
46,169,,,,,,
47,183,,,,,,
48,185,,,,,,
49,186,,,,,,
50,188,,,,,,
51,189,,,,,,
52,190,,,,,,
53,191,,,,,,
54,194,,,,,,
55,197,,,,,,
56,200,,,,,,
57,204,,,,,,
58,211,,,,,,
59,212,,,,,,
60,213,,,,,,
61,214,,,,,,
62,215,,,,,,
63,221,,,,,,
64,227,,,,,,
65,230,,,,,,
66,234,,,,,,
67,235,,,,,,
68,240,,,,,,
69,246,,,,,,
70,250,,,,,,
71,252,,,,,,
72,253,,,,,,
73,256,,,,,,
74,259,,,,,,
75,267,,,,,,
76,268,,,,,,
77,270,,,,,,
78,272,,,,,,
79,275,,,,,,
80,276,,,,,,
81,279,,,,,,
82,281,,,,,,
83,286,,,,,,
84,293,,,,,,
85,301,,,,,,
86,306,,,,,,
87,314,,,,,,
88,316,,,,,,
89,320,,,,,,
90,321,,,,,,
91,326,,,,,,
92,327,,,,,,
93,338,,,,,,
94,345,,,,,,
95,347,,,,,,
96,349,,,,,,
97,352,,,,,,
98,353,,,,,,
99,360,,,,,,
100,362,,,,,,
101,367,,,,,,
102,370,,,,,,
103,373,,,,,,
104,374,,,,,,
105,382,,,,,,
106,385,,,,,,
107,388,,,,,,
108,391,,,,,,
109,400,,,,,,
110,401,,,,,,
111,404,,,,,,
112,406,,,,,,
113,419,,,,,,
114,423,,,,,,
115,426,,,,,,
116,427,,,,,,
117,430,,,,,,
118,432,,,,,,
119,436,,,,,,
120,438,,,,,,
121,445,,,,,,
122,449,,,,,,
123,451,,,,,,
124,452,,,,,,
125,459,,,,,,
126,463,,,,,,
127,501,,,,,,
128,505,,,,,,
129,512,,,,,,
130,519,,,,,,
131,523,,,,,,
132,525,,,,,,
133,526,,,,,,
134,527,,,,,,
135,528,,,,,,
136,530,,,,,,
137,533,,,,,,
138,534,,,,,,
139,537,,,,,,
140,539,,,,,,
141,557,,,,,,
142,558,,,,,,
143,566,,,,,,
144,575,,,,,,
145,576,,,,,,
146,580,,,,,,
147,582,,,,,,
148,592,,,,,,
149,593,,,,,,
150,598,,,,,,
151,599,,,,,,
152,602,,,,,,
153,605,,,,,,
154,611,,,,,,
155,614,,,,,,
156,616,,,,,,
157,619,,,,,,
158,624,,,,,,
159,625,,,,,,
